"5313001","5313673","5313549","5313074","5313600","5313473","5313688","5313160","5313006","5313030","5313810","5313490","5313222","5313683","5313873","5313647","5313760","5313433","5313052","5313836","5313838","5313442","5313657","5313654","5313244","5313894","5313212","5313430","5313780","5313188","5313468","5313650","5313667","5313268","5313580","5313042","5313744","5313670","5313458","5313655","5313620","5313062","5313140","5313440","5313248","5313300"
0,1.03273224936493e-05,3.80660012901275e-07,4.39002225241969e-07,3.48280077221171e-07,2.73227364639937e-07,1.18603480064284e-07,3.52631080271085e-07,3.45495440390719e-07,5.58762663423891e-07,3.16626128213912e-07,1.29790306439706e-06,1.13891454925953e-05,6.50080761739883e-06,1.27855046146843e-06,1.47997988513202e-06,2.6614113015721e-06,8.7102012921574e-07,4.97998533196713e-06,5.44025065204162e-06,1.06601937985697e-05,4.75648793469091e-07,6.12097363717514e-07,8.84897271070297e-07,7.02616223251773e-07,1.41197373444723e-06,1.1948224565097e-06,2.92688763180727e-07,1.05391529201168e-06,1.07325474378488e-06,2.61246419314884e-07,7.07374323032813e-07,4.09224703224742e-07,7.44702996628334e-07,6.29552973251636e-07,3.16014283990728e-07,2.25654285775155e-07,1.16635723747579e-07,2.59308324649092e-07,4.91337866735078e-07,3.19322923574986e-06,2.11095871633e-06,9.12062653376325e-07,8.90868638851547e-07,2.46071887378572e-06,7.25915265731585e-07
4.97858266789246e-09,0,4.78470054574786e-09,5.64541277201376e-09,4.36461453914486e-09,3.48824914801669e-09,1.44986338358715e-09,4.22627996074022e-09,4.31502965962838e-09,7.01335786369735e-09,4.06420153090146e-09,1.61489910325174e-08,1.62415382003726e-07,1.54277044937791e-08,1.05236591644956e-07,1.96413446064521e-08,3.52819540811952e-08,1.10229348185139e-08,1.1510032515499e-08,1.28925380531543e-08,1.91602965925216e-08,5.47898923289198e-09,7.57765617876543e-09,1.07513139634576e-08,8.40539901576501e-09,1.780550950278e-08,1.46135403810495e-08,3.52659790488936e-09,1.28537939563381e-08,1.32582105086866e-08,3.26344124624874e-09,8.91721788994002e-09,5.25984200381477e-09,9.4997866212966e-09,8.18144880774982e-09,3.97065960940949e-09,2.73618211934639e-09,1.43958998699489e-09,3.17330817318415e-09,5.76443259441454e-09,4.4945774789118e-08,2.8368981759724e-08,1.21666756756914e-08,1.14306853163771e-08,3.15506847904656e-08,9.14944813050041e-09
7.63325171876485e-10,1.63758416241396e-08,0,2.09111938800925e-07,2.77796579331779e-08,2.14146329224573e-08,8.63697965613122e-09,2.65874074689838e-08,1.51752891105499e-07,2.70099654479411e-07,1.51418727272062e-07,1.00404213367344e-07,1.83068145407067e-08,1.03010540919507e-08,1.25354299257621e-08,1.58821448160029e-08,3.26844623849886e-08,1.14910194956161e-08,1.14661434994122e-08,1.07701299890099e-08,1.70615605921279e-08,6.96817277598403e-09,1.04695800127033e-08,1.64284559351204e-08,1.51014447442713e-08,3.38621446185292e-08,3.53845430270114e-08,6.89238416431144e-08,4.99751415637395e-08,5.14400236438061e-08,8.62731727950012e-08,2.93929573923729e-07,3.20689244999408e-08,5.38617411136955e-08,4.69943057197744e-08,2.5707007379461e-08,1.66464564647734e-08,8.57596692010051e-09,1.80850526535977e-08,3.23470977530972e-08,3.95992244946405e-08,2.96063085207718e-08,1.25014420203115e-08,3.78922575826303e-07,4.33669561538055e-08,3.07715157762311e-07
4.60432749208518e-10,1.00623181568142e-08,1.05017923025295e-07,0,2.27339773004355e-08,1.73688255850477e-08,6.65799487257978e-09,2.06299591214093e-08,1.80441922913589e-08,2.12874194633312e-07,1.15550212812126e-07,8.14945976540071e-08,1.09902279279699e-08,6.43206028464455e-09,7.68837712865766e-09,9.76029993213031e-09,1.99322483582515e-08,7.10163446060661e-09,7.00591108376407e-09,6.60351224348178e-09,1.02733699760222e-08,4.22188904163321e-09,6.40120234070041e-09,9.84513191202901e-09,8.95202614395567e-09,2.04774638313034e-08,2.12633257739687e-08,8.16485020424657e-09,3.02545981418368e-08,3.08674010038766e-08,9.22263367410447e-09,2.93275253225797e-08,1.61091070357942e-07,4.39960902238639e-08,3.94934131672023e-08,2.06435821399727e-08,1.32250179221969e-08,6.65139060436506e-09,1.35998827343832e-08,2.27627288254196e-08,2.44756774212032e-08,1.81868058637452e-08,7.74997702872773e-09,4.47888924260293e-08,2.63929269230091e-08,2.21502188527639e-07
3.38061203748491e-10,7.19611876953379e-09,1.31886288425076e-08,2.14434485269904e-08,0,1.1465292682787e-07,7.05372158873498e-09,2.20800006416903e-08,1.54295563293443e-08,2.71328820951262e-08,1.09505253973846e-07,4.93755865379272e-07,7.97857856006859e-09,4.73292941989073e-09,5.61724172309969e-09,6.94474761430937e-09,1.45659945865576e-08,5.23359672147307e-09,5.18654924330414e-09,4.87138915329965e-09,7.41696034587879e-09,3.15265351393802e-09,4.73585995235649e-09,7.39726482113031e-09,6.74238159216517e-09,1.51008008213552e-08,1.56926967692286e-08,6.18738033513761e-09,2.24807289735591e-08,2.26783227675075e-08,6.85044462931125e-09,2.11514660086786e-08,1.35060517851432e-07,3.70016951030294e-08,2.08385156696837e-07,1.3084465038047e-07,1.45071943107011e-08,7.10090766858436e-09,8.59313113310139e-08,2.1530329184381e-08,1.78936288886797e-08,1.32274736276123e-08,5.83874250416459e-09,3.26466756836257e-08,1.94429384531302e-08,2.77155945988063e-08
3.97864572607225e-10,8.34338512125626e-09,1.54866792706102e-08,2.50596708846385e-08,1.80581005530605e-07,0,6.24897974158822e-08,3.39959700097274e-08,1.89608318364786e-08,3.14038241436146e-08,2.28462510956344e-08,9.97297548429434e-08,9.39202658095053e-09,5.55311097342982e-09,6.44159666771866e-09,8.16622941627885e-09,1.71372146819805e-08,6.2175649722787e-09,6.12223074973633e-09,5.64374862389408e-09,8.78738956840794e-09,3.75899466268407e-09,5.6187505535798e-09,8.93336584932142e-09,8.10205519980013e-09,1.77175064930194e-08,1.86732092211717e-08,7.49581416598514e-09,2.62094914291832e-08,2.68051854807328e-08,8.11415157845439e-09,2.48134534675956e-08,2.61492153393061e-08,4.41074641283551e-08,4.21384540886859e-08,1.83643990756867e-07,1.37684338316752e-07,1.08870332702868e-08,1.26141846158499e-07,2.94077794803045e-08,2.10251609496953e-08,1.54568456304399e-08,6.82503816457272e-09,3.78898624089026e-08,2.27035409107738e-08,3.21564002052008e-08
6.1932867737966e-10,1.28694502623734e-08,2.24222890081356e-08,3.48894557869994e-08,4.09521080798131e-08,2.46712419619858e-07,0,9.06093965048294e-08,2.9871811033557e-08,4.53343816953454e-08,3.41622173080369e-08,1.4123702244649e-07,1.43586583938619e-08,8.5666052239182e-09,1.01609963015143e-08,1.25508344958772e-08,2.58590766084606e-08,9.60956194375204e-09,9.39362777048681e-09,8.77559284823646e-09,1.38796086990995e-08,5.90031135898363e-09,8.65545800962241e-09,1.39615548230991e-08,1.29363121611075e-08,2.68525755956232e-08,2.91147728707636e-08,1.18869323500087e-08,3.95733648200122e-08,4.0923849113111e-08,1.23223869138952e-08,3.65202570743937e-08,3.61551412572011e-08,6.15769738095305e-08,5.87241538063007e-08,4.50396766606626e-08,3.28470445684825e-07,1.72754847531143e-07,2.81972909197904e-07,5.68222298930203e-08,3.23388201251581e-08,2.2999914079921e-08,1.05832186355679e-08,5.48376804972523e-08,3.48582089878528e-08,4.57904342771735e-08
1.03295177039008e-10,2.11871436017776e-09,3.77307584448416e-09,5.6394925715497e-09,6.8208014567331e-09,6.65345828451432e-09,4.78264273870565e-09,0,4.81055718043393e-09,7.48842007036927e-09,5.43603372420611e-09,2.335125796132e-08,2.36613916890141e-09,1.39170547796984e-09,1.66279282085344e-09,2.08939872143887e-09,4.24123347532968e-09,1.58248158817281e-09,1.54029389087184e-09,1.3889544477821e-09,2.32883419927583e-09,9.85281666222197e-10,1.44039887894743e-09,2.36353362419901e-09,2.11329916856443e-09,4.38633418656765e-09,4.75358122594392e-09,2.01536108119099e-09,6.5831558939478e-09,6.6907204957318e-09,2.06004576069609e-09,6.03754584183355e-09,5.84728414919263e-09,1.01282685801979e-08,9.75618951866281e-09,7.21252348042576e-09,9.66603514667973e-09,4.32374154336102e-08,7.87734780104917e-09,9.75063078782845e-09,5.35955331087746e-09,3.74076782200242e-09,1.72895421237664e-09,9.03880349352181e-09,5.64729479381534e-09,7.52070437098115e-09
6.0207733018776e-10,1.26612422508689e-08,1.31284690429234e-07,3.06495656182931e-08,2.80070155836738e-08,2.27752388706992e-08,9.62602971862963e-09,2.99422186443125e-08,0,3.94581170424475e-08,1.6327004955498e-07,1.00816853892745e-07,1.40112123282258e-08,8.23658552231771e-09,9.80792585701526e-09,1.24546263108432e-08,2.51981856393314e-08,9.13644578066881e-09,9.17447219460431e-09,8.56050545229028e-09,1.35233369575024e-08,5.61987039199422e-09,8.24445505543132e-09,1.28715093642235e-08,1.19990868276389e-08,2.61727349441647e-08,2.80344034312365e-08,5.69220370917129e-08,3.85308587658842e-08,4.00321131159088e-08,1.15357790841699e-08,3.47943138515846e-08,2.84663393162069e-08,4.71046468511804e-08,4.18558530160839e-08,2.75439277071153e-08,1.86904810232429e-08,9.55546836289838e-09,1.28301257889849e-07,2.31278255263886e-07,3.07821416848456e-08,2.28946028106892e-08,9.79839585205781e-09,4.89304513702754e-08,3.3512511062922e-08,4.15352749451452e-08
