"5394663","5394343","5394001","5394886","5394884","5394885","5394888","5394887","5394883"
0,3.94318025028009e-08,1.1770116105539e-09,4.85916046815148e-09,4.49020234744579e-09,2.29238927551095e-08,2.50821580780174e-07,9.78158698609082e-09,5.55866971651803e-09
1.13568706218867e-07,0,2.86597407796627e-08,1.95996494169328e-08,1.44543933969938e-08,6.41500139183943e-08,3.29989284968857e-07,1.99798488223726e-08,1.78410673623069e-08
5.15583297011208e-08,4.34053905827855e-07,0,7.42903939602941e-07,4.33817110561239e-07,3.65046420042488e-07,9.80654541859367e-07,4.42929277842582e-07,1.04130740959675e-07
3.56239025529265e-09,5.04511110055627e-09,1.25207257401668e-08,0,3.81130801085006e-08,4.9466544575489e-08,1.10635902055344e-08,5.68004800626608e-09,1.37113084376365e-08
1.18366099782067e-08,1.3433786303605e-08,2.65925891802553e-08,1.39705902189022e-07,0,1.19732012306791e-07,4.04067823049291e-08,1.35472096484173e-07,1.91991765658331e-07
3.02780199252802e-10,3.06446095345595e-10,1.11495510910301e-10,9.14715787909977e-10,6.01676261093113e-10,0,1.01628456240182e-09,6.54975259928664e-10,1.39207820812665e-08
4.47619839663761e-08,2.08656798884664e-08,4.05052623497096e-09,2.78843415426079e-09,2.78869303220723e-09,1.38564661929529e-08,0,3.58509110662866e-08,3.4670081472153e-09
1.14736028953923e-08,8.30337120968711e-09,1.1954316292136e-08,9.23545833642817e-09,6.13335252785502e-08,5.7518316606842e-08,2.36003120695148e-07,0,1.39994433164563e-08
2.75411717777086e-09,3.07366873510487e-09,1.1280777427937e-09,9.31506743206392e-09,3.57149218982509e-08,5.1257084902205e-07,9.27865540310444e-09,5.79749777865743e-09,0
