"5363470","5363401","5363548","5363302","5363690","5363111","5363272","5363190","5363594","5363001","5363130","5363212"
0,1.63728765790211e-07,1.74332078790153e-07,1.28847927720867e-07,1.41035302346823e-07,3.74326120967939e-07,7.97459942112733e-08,2.20296650986462e-07,1.90759333257221e-07,6.04880640201333e-08,4.33652807396245e-08,2.02462725861855e-07
1.67318343496506e-07,0,1.75161897272631e-07,1.29795716551865e-07,1.36553309888873e-07,3.75708641613557e-07,7.62667579569559e-08,3.65649917130173e-08,3.12280150983646e-08,5.90857468307341e-08,2.14632964854873e-07,2.01655941418698e-07
4.21065104030646e-09,4.14603752229332e-09,0,1.29280674144629e-07,2.1395125453554e-08,3.62551953312334e-07,1.13349917645443e-08,5.4644836780297e-09,4.48865872597579e-09,1.73807487663267e-09,3.37167066376184e-08,1.92199084964615e-07
5.24185232666463e-09,5.18066927420653e-09,2.1611326100193e-07,0,2.57941071803637e-08,7.5603560960125e-08,1.36668283169455e-08,6.63434967295162e-09,5.53252934359492e-09,2.10771837524882e-09,8.16049846734203e-09,4.02831105409097e-08
4.68489346354713e-09,4.44560757974574e-09,2.93855141873052e-08,2.12858533266591e-08,0,6.16702522403731e-08,8.93758517109299e-08,4.10317648796445e-08,5.63750478177436e-09,1.02112382137753e-08,3.88146767207952e-08,3.52482503207383e-08
1.87219016097328e-09,1.84405384740147e-09,7.37913573484377e-08,9.27357123217169e-09,9.25528959046703e-09,0,4.99358132957592e-09,2.41182664004774e-09,1.98774838248565e-09,7.69537459286979e-10,1.46836047244263e-08,8.24975479038199e-08
8.1003104952307e-09,7.59058194182899e-09,4.77397378904065e-08,3.48170780250848e-08,2.63642820965899e-07,1.01918144409445e-07,0,6.94280921397957e-08,5.89622853831753e-08,3.32733034991297e-09,1.25947206796496e-08,5.70071239084551e-08
1.34413164542902e-07,2.21268725677306e-08,1.41012513857028e-07,1.02551167238912e-07,7.44927795713325e-07,2.9974238956853e-07,4.25547908784317e-07,0,1.633368993458e-07,5.00696735061587e-08,3.70090593181055e-08,1.684956186111e-07
1.34700914586373e-07,2.19321604122634e-08,1.34410186819927e-07,9.9147529099895e-08,1.22575629503022e-07,2.88915942665983e-07,4.19138322897009e-07,1.89255386584223e-07,0,9.43070127069232e-09,3.49955267711461e-08,1.58964164424947e-07
1.15407506616586e-06,1.10195397382155e-06,1.25405930785632e-06,9.03887520357588e-07,5.94690087386816e-06,2.66476643176324e-06,5.67181128140435e-07,1.56282036557251e-06,2.24267917773812e-07,0,1.59281338459817e-06,1.46913792471961e-06
5.22987078103812e-08,2.8640416262644e-07,1.94342079756269e-06,2.39699082621846e-07,1.58704646897527e-06,4.14271725148341e-06,1.49093774727986e-07,7.26194668791091e-08,5.84180541814525e-08,1.13050253129208e-07,0,2.29425093531432e-06
3.625363021302e-09,3.53870129787689e-09,1.43843433442452e-07,1.77260344475074e-08,1.90335825126166e-08,3.02872696994115e-07,1.00581253274598e-08,4.8964964536622e-09,3.9355969828294e-09,1.52686353835517e-09,2.97646437455066e-08,0
